loss1,loss2,loss3,loss4,loss5,loss6,loss7
3.053788, 0.8877018, 0.19609785, 0.7565158, 0.13961644, 0.9517525, 0.122103795
2.4015388, 0.53290975, 0.14457954, 0.57342243, 0.13475507, 0.8918752, 0.12399675
1.9707432, 0.44767287, 0.16516644, 0.40268722, 0.13808294, 0.67826504, 0.13886853
1.5798682, 0.30936927, 0.10127725, 0.34949213, 0.09141382, 0.6288728, 0.09944292
1.3382688, 0.27755743, 0.10489381, 0.28063798, 0.087686256, 0.47467217, 0.11282113
1.0719463, 0.21524373, 0.072689086, 0.2632748, 0.060270466, 0.36948526, 0.09098289
0.9809578, 0.21297084, 0.07585977, 0.2214787, 0.05728989, 0.3031801, 0.110178486
1.032674, 0.21969886, 0.063171595, 0.2873058, 0.04927221, 0.3075385, 0.10568705
0.8840582, 0.214212, 0.05809534, 0.21618725, 0.045657277, 0.23779464, 0.11211169
0.89856875, 0.18865173, 0.042619415, 0.25285086, 0.037975796, 0.2643845, 0.11208641
0.6510196, 0.15404746, 0.03673908, 0.17744948, 0.032307193, 0.1488823, 0.1015941
0.6790345, 0.15599953, 0.040091828, 0.18646893, 0.039789885, 0.15541631, 0.10126796
0.62071717, 0.1486906, 0.04175798, 0.16216561, 0.03968504, 0.13379866, 0.09461926
0.69556475, 0.17747045, 0.036126927, 0.19831058, 0.031171886, 0.1730161, 0.079468764
0.41890085, 0.11383283, 0.028669214, 0.10480489, 0.0265218, 0.07787443, 0.067197695
0.5288037, 0.14381038, 0.031726338, 0.13807504, 0.030560607, 0.12239816, 0.062233176
0.3711142, 0.117488295, 0.025270602, 0.093452305, 0.020432077, 0.07394767, 0.04052326
0.4033118, 0.12428932, 0.023334296, 0.1031983, 0.0213463, 0.091619715, 0.03952384
0.4167797, 0.123839304, 0.024190411, 0.107281834, 0.02051999, 0.10646825, 0.03447989
0.3418629, 0.10328855, 0.019642908, 0.082393825, 0.016816838, 0.08970764, 0.03001312
0.34542346, 0.10899368, 0.028703338, 0.07040694, 0.021297187, 0.0812989, 0.034723386
0.46231407, 0.12900253, 0.03446462, 0.10328874, 0.028724987, 0.12407941, 0.04275378
0.36059994, 0.10262075, 0.01764483, 0.09757707, 0.014570169, 0.10591122, 0.022275882
0.32226902, 0.099168986, 0.019525494, 0.081291616, 0.017991647, 0.07845113, 0.02584015
0.31544557, 0.09157147, 0.021682171, 0.075407945, 0.018823681, 0.076385364, 0.031574935
0.3348339, 0.10068874, 0.024118109, 0.08103393, 0.018116992, 0.08569436, 0.025181754
0.33631453, 0.0970234, 0.024126131, 0.08207538, 0.019212082, 0.0889701, 0.024907442
0.29987246, 0.090914905, 0.017190749, 0.07287654, 0.014313608, 0.08333276, 0.021243865
0.28684497, 0.08802618, 0.01829123, 0.06578496, 0.014765227, 0.074435726, 0.025541674
0.21621376, 0.073097296, 0.015057202, 0.042660646, 0.012244531, 0.048446603, 0.024707474
0.2301365, 0.07205663, 0.013734523, 0.05634863, 0.010821399, 0.058142647, 0.019032657
0.2639372, 0.07906174, 0.016932283, 0.064290255, 0.01479899, 0.06616944, 0.022684488
0.21637826, 0.06932014, 0.01747581, 0.048451766, 0.013673576, 0.045081217, 0.022375748
0.3414241, 0.09401092, 0.022500496, 0.08905557, 0.019144028, 0.09183541, 0.024877664
0.17622565, 0.059638474, 0.012840512, 0.041010275, 0.009674085, 0.034745194, 0.0183171
0.27592185, 0.07717744, 0.019374799, 0.069259346, 0.017616892, 0.06664526, 0.025848124
0.17465451, 0.060298115, 0.01240656, 0.04235299, 0.009609695, 0.032171406, 0.017815754
0.19160217, 0.061558977, 0.012010161, 0.04631661, 0.009772069, 0.04627349, 0.015670883
0.20042415, 0.0566808, 0.012843181, 0.048230372, 0.0105697345, 0.053982977, 0.018117089
0.15167947, 0.047845405, 0.01014448, 0.033504225, 0.0076042362, 0.036345664, 0.01623546
0.27187943, 0.07402627, 0.020999007, 0.066390894, 0.01788631, 0.0681207, 0.02445624
0.20892711, 0.061849073, 0.013197326, 0.05275005, 0.009993925, 0.053072818, 0.018063918
0.18285568, 0.048714846, 0.011129413, 0.041141227, 0.008631356, 0.053919572, 0.019319266
0.2521558, 0.06808593, 0.016653653, 0.05437199, 0.013039768, 0.07281193, 0.02719252
0.15961197, 0.055028632, 0.011841128, 0.03418966, 0.006662247, 0.036040768, 0.015849534
0.21578373, 0.054700546, 0.015640646, 0.05123667, 0.011519652, 0.06280164, 0.019884568
0.28777075, 0.06169505, 0.01799421, 0.07207549, 0.018523343, 0.095562585, 0.021920096
0.17000203, 0.047646817, 0.009615224, 0.041698873, 0.008129152, 0.050667137, 0.012244834
0.25156733, 0.05910048, 0.0144175915, 0.06728137, 0.01359765, 0.082806535, 0.014363702
0.22967137, 0.054675158, 0.014960932, 0.06292408, 0.014721196, 0.065529965, 0.016860047
0.1555225, 0.042924665, 0.009579245, 0.03972114, 0.008641217, 0.040193327, 0.014462922
0.21450402, 0.05351492, 0.012451537, 0.06017318, 0.012554891, 0.056427605, 0.019381892
0.18532462, 0.043905906, 0.012014902, 0.052422088, 0.012691223, 0.04458712, 0.019703375
0.2733797, 0.067636, 0.017922282, 0.07560679, 0.01568866, 0.07513209, 0.021393908
0.1342515, 0.04015852, 0.009198824, 0.037709266, 0.00774024, 0.026492331, 0.012952335
0.21591567, 0.053466722, 0.015139071, 0.05564592, 0.013425234, 0.05898669, 0.019252013
0.12893437, 0.042729195, 0.009144526, 0.031520586, 0.006060809, 0.028451899, 0.011027359
0.14979893, 0.043824136, 0.009347471, 0.037656512, 0.0070258067, 0.04112676, 0.010818248
0.15985277, 0.04065819, 0.009831428, 0.042661577, 0.008637145, 0.044789545, 0.013274885
0.120652094, 0.03386574, 0.007910773, 0.030160766, 0.0067712646, 0.030855572, 0.011087973
0.13763045, 0.03973429, 0.01037621, 0.032464907, 0.0087814545, 0.032994956, 0.013278624
0.12301037, 0.035707094, 0.007430901, 0.03261933, 0.0064409478, 0.032006413, 0.008805688
0.12647507, 0.033379853, 0.008645259, 0.029654397, 0.007859474, 0.034061883, 0.012874208
0.13875422, 0.039136596, 0.012102051, 0.030822845, 0.0093919, 0.033053603, 0.014247227
0.20957193, 0.06410954, 0.014260385, 0.0460067, 0.010086168, 0.05907869, 0.016030442
0.18070841, 0.052876916, 0.015993014, 0.040619783, 0.010983653, 0.04589698, 0.014338054
0.16584082, 0.05012209, 0.01149293, 0.040220365, 0.009016407, 0.043088935, 0.011900086
0.13060196, 0.038522586, 0.009961214, 0.02934283, 0.0071469382, 0.034326356, 0.011302024
0.17982015, 0.047795538, 0.013885286, 0.041592836, 0.010897601, 0.05066155, 0.014987353
0.12119778, 0.033667788, 0.009865877, 0.02922632, 0.0075325184, 0.030083815, 0.01082146
0.115140945, 0.03254818, 0.007870968, 0.027824784, 0.006209598, 0.029970234, 0.01071718
0.13555513, 0.04134432, 0.010392029, 0.032143645, 0.008271146, 0.031240987, 0.01216301
0.121972844, 0.033839293, 0.010122757, 0.02789791, 0.00825409, 0.029464671, 0.0123941265
0.20336352, 0.056673154, 0.01552041, 0.04683797, 0.011538038, 0.058041155, 0.014752786
0.09827121, 0.029732909, 0.0073099975, 0.022302493, 0.0055353837, 0.025936242, 0.007454179
0.17372368, 0.04384442, 0.013051061, 0.043914348, 0.01145521, 0.04763203, 0.013826626
0.11411576, 0.03390816, 0.007231962, 0.025629047, 0.0054920437, 0.031206245, 0.010648304
0.123465106, 0.03745231, 0.007765251, 0.028560515, 0.005410595, 0.034642357, 0.009634076
0.12678857, 0.03254355, 0.007667175, 0.031335868, 0.007014052, 0.035747334, 0.01248058
0.0941484, 0.027912594, 0.006262273, 0.02040582, 0.0050698556, 0.024656907, 0.009840951
0.19129099, 0.04869023, 0.01433236, 0.04630302, 0.012953237, 0.052563444, 0.016448697
0.10112243, 0.027643621, 0.0071355896, 0.025090763, 0.00668954, 0.024860755, 0.009702158
0.08566445, 0.026095888, 0.0060005584, 0.020304922, 0.004576928, 0.021418221, 0.007267938
0.1363882, 0.041764665, 0.010620062, 0.028976943, 0.007809815, 0.034004223, 0.013212485
0.110680036, 0.029305965, 0.00714898, 0.02803932, 0.006426469, 0.030380849, 0.009378454
0.13079695, 0.03824841, 0.008399428, 0.030208316, 0.006488329, 0.036962822, 0.010489648
0.12711678, 0.038195677, 0.009688027, 0.027434383, 0.006741557, 0.033987176, 0.011069974
0.088026084, 0.029509982, 0.0068544336, 0.018109312, 0.004279132, 0.02297682, 0.006296401
0.17668581, 0.0636007, 0.014637063, 0.03670986, 0.009618101, 0.038186483, 0.013933599
0.1492317, 0.037496988, 0.00915211, 0.037762206, 0.008567071, 0.04399862, 0.012254703
0.09856422, 0.030033678, 0.0081358, 0.02142329, 0.0054443837, 0.02447003, 0.009057038
0.11500652, 0.03685713, 0.00967533, 0.02363088, 0.0062623713, 0.027574413, 0.011006398
0.114527196, 0.031215312, 0.010037484, 0.023473762, 0.007139316, 0.02904735, 0.013613968
0.18993866, 0.05698859, 0.016169103, 0.04119981, 0.010590972, 0.04985602, 0.015134178
0.07809378, 0.024311734, 0.006303449, 0.017332144, 0.0044665625, 0.018770127, 0.006909769
0.14644773, 0.039684307, 0.012675233, 0.03184046, 0.00940766, 0.040427484, 0.012412588
0.088286296, 0.027542628, 0.006149007, 0.022183053, 0.0046855872, 0.020124305, 0.0076017086
0.096879445, 0.03163463, 0.0063835764, 0.023089763, 0.004729218, 0.024130445, 0.0069118207
0.101612136, 0.028188929, 0.0069141565, 0.02479798, 0.0062844306, 0.026252745, 0.00917389
0.08441698, 0.025224578, 0.005725445, 0.018009093, 0.00488109, 0.022282306, 0.008294471
0.15442094, 0.037444383, 0.012506864, 0.035923406, 0.011470208, 0.04199408, 0.015081999
0.07637961, 0.027083699, 0.005727083, 0.015541581, 0.004083478, 0.017572105, 0.0063716657
0.18387239, 0.061916128, 0.018729372, 0.03972494, 0.013279522, 0.035366125, 0.014856297
